player_id,gender,country,debut_year,birth_year,birth_month,played_youth
1445,Men,Russia,2009,1986,10,1
1446,Men,Russia,2005,1985,10,1
1468,Women,Serbia,2007,1987,12,1
1469,Women,Serbia,2011,1986,2,1
1471,Men,Serbia,2012,1987,8,1
1472,Women,Serbia,2012,1990,6,1
1474,Women,Serbia,2017,1991,1,1
1479,Men,Serbia,2009,1989,11,1
1506,Men,Slovenia,2007,1987,9,1
1507,Men,Slovenia,2007,1986,5,1
1516,Women,Slovenia,2008,1992,9,1
1521,Women,Slovenia,2009,1990,12,1
1523,Women,Slovenia,2010,1990,3,1
1530,Men,Spain,2007,1985,1,1
1531,Women,Spain,2006,1987,1,1
1532,Women,Spain,2006,1987,8,1
1533,Men,Spain,2009,1987,11,1
1534,Women,Spain,2009,1986,10,1
1536,Men,Spain,2005,1986,6,1
1542,Men,Spain,2015,1987,3,1
1548,Men,Spain,2008,1990,10,1
1554,Men,Spain,2019,1989,2,1
1562,Women,Sweden,2010,1990,1,1
1580,Women,Turkey,2005,1984,7,1
1581,Women,Turkey,2006,1986,2,1
1601,Women,Ukraine,2011,1987,6,1
1602,Men,Ukraine,2009,1987,4,1
1608,Women,Ukraine,2009,1990,6,1
1610,Men,Ukraine,2006,1987,8,1
1611,Men,Ukraine,2009,1987,6,1
1634,Women,Belarus,2009,1988,6,1
1635,Women,Belarus,2016,1992,1,1
1654,Women,Belgium,2010,1990,3,1
1655,Women,Belgium,2009,1991,2,1
1669,Men,Belgium,2013,1990,2,1
1722,Men,Croatia,2016,1989,3,1
1750,Men,Czech Republic,2011,1986,11,1
1754,Women,Czech Republic,2018,1990,1,1
1761,Women,Czech Republic,2017,1990,9,1
1768,Men,Czech Republic,2008,1991,10,1
1843,Men,Finland,2012,1990,5,1
1870,Men,France,2010,1990,3,1
1876,Men,Georgia,2008,1987,4,1
1908,Men,Germany,2013,1991,6,1
1920,Men,Great Britain,2006,1985,11,0
1921,Women,Great Britain,2006,1982,12,0
1922,Women,Greece,2006,1983,1,1
1927,Women,Greece,2013,1991,5,1
1939,Men,Greece,2017,1990,7,1
1940,Men,Greece,2012,1990,4,1
1945,Men,Greece,2011,1990,1,1
1952,Women,Hungary,2008,1990,4,1
1956,Men,Hungary,2014,1988,7,1
1961,Women,Hungary,2011,1991,9,1
1975,Men,Hungary,2009,1990,9,1
2051,Men,Italy,2009,1988,12,1
