category,player_id,gender,country,debut_year,birth_year,birth_month,nr_youth_years,nr_youth_championships,age_13,age_14,age_15,age_16,age_17,age_18,age_19,age_20
senior,306,men,France,2013,1988,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,307,men,France,2009,1988,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,308,men,France,2009,1989,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,321,women,France,2014,1988,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,322,women,France,2014,1989,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,327,men,Georgia,2014,1989,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,333,men,Georgia,2012,1989,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,339,women,Germany,2011,1988,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,341,men,Germany,2008,1988,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,342,women,Germany,2009,1989,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,349,men,Germany,2010,1988,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,356,women,Germany,2011,1989,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,368,women,Greece,2011,1989,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,374,men,Greece,2016,1989,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,381,women,Greece,2011,1988,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,393,women,Hungary,2010,1989,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,401,men,Hungary,2010,1988,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,409,men,Hungary,2014,1988,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,410,men,Hungary,2010,1989,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,412,women,Iceland,2006,1988,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,413,women,Iceland,2006,1988,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,415,men,Iceland,2007,1988,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,416,men,Iceland,2009,1988,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,419,women,Iceland,2007,1988,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,425,women,Iceland,2006,1988,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,428,women,Iceland,2008,1988,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,429,men,Iceland,2007,1988,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,434,men,Iceland,2008,1989,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,436,women,Ireland,2008,1988,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,438,women,Ireland,2007,1988,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,444,women,Ireland,2009,1988,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,445,women,Ireland,2007,1988,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,462,men,Israel,2008,1988,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,468,women,Israel,2016,1988,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,475,men,Israel,2009,1988,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,489,women,Italy,2007,1988,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,491,women,Italy,2012,1988,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,495,women,Italy,2010,1989,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,501,men,Italy,2011,1988,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,507,women,Italy,2010,1989,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,511,women,Latvia,2008,1989,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,513,women,Latvia,2008,1988,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,517,men,Latvia,2009,1988,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,519,men,Latvia,2010,1988,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,522,men,Latvia,2010,1988,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,525,women,Latvia,2014,1989,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,527,women,Latvia,2014,1988,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,536,men,Lithuania,2010,1988,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,537,women,Lithuania,2006,1989,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,554,women,Lithuania,2009,1988,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,555,women,Lithuania,2006,1990,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,558,women,Luxembourg,2005,1988,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,564,women,Luxembourg,2006,1988,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,569,women,Luxembourg,2006,1989,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,571,men,Montenegro,2008,1988,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,572,women,Montenegro,2008,1989,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,573,women,Montenegro,2008,1989,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,574,women,Montenegro,2016,1988,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,575,women,Netherlands,2005,1988,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,576,women,Netherlands,2007,1989,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,578,women,Netherlands,2008,1989,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,579,women,Netherlands,2008,1988,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,583,women,Netherlands,2007,1988,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,585,women,Netherlands,2009,1989,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,586,women,Netherlands,2010,1989,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,594,men,Netherlands,2010,1988,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,596,men,Netherlands,2007,1988,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,599,men,North Macedonia,2010,1988,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,603,men,North Macedonia,2012,1988,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,606,men,North Macedonia,2014,1988,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,619,men,Poland,2007,1988,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,624,women,Poland,2012,1989,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,625,women,Poland,2014,1988,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,631,women,Poland,2008,1989,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,633,women,Poland,2008,1988,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,637,women,Portugal,2007,1988,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,640,women,Portugal,2007,1988,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,641,men,Portugal,2008,1989,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,643,men,Portugal,2011,1989,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,644,men,Portugal,2010,1988,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
