gender,variable,value_model,lower_model,upper_model,pd_model,value_moderator_model,lower_moderator_model,upper_moderator_model,pd_moderator_model
men,intercept,0.6394535560966668,0.5171334995264968,0.767211833337927,1,0.7303083792293464,0.5021050917829232,0.9536944671971992,1
men,nr_youth,0.1170437617602441,0.0066563747357305594,0.21918949109984717,0.98375,0.1327545465149515,0.020305775941693076,0.24360731900533703,0.989
men,players_lic,NA,NA,NA,NA,0.02220596704262979,-0.1593067414583234,0.1992719212747236,0.6019
men,ranking_points_senior,NA,NA,NA,NA,-0.3212589519750917,-0.9847759111377006,0.3362592414379053,0.83555
women,intercept,0.10189915839790642,-0.0716961255400561,0.2764028107654047,0.8782,0.13248984453495896,-0.18523683464969679,0.455455535445254,0.7918
women,nr_youth,0.11634802504096178,-0.002059158862216609,0.23465894688801955,0.9733,0.14760815228079568,0.023382164921663576,0.2679168827373427,0.9917
women,players_lic,NA,NA,NA,NA,-0.10801993807203719,-0.29421031287191274,0.08949873926307111,0.8651
women,ranking_points_senior,NA,NA,NA,NA,-0.30304170068888925,-1.0338925249445308,0.45464005642871436,0.79055
men,sigma_intercept,0.1688521119497611,0.02486665557219183,0.2911605161350249,NA,0.16977853785989852,0.02353593362500556,0.2912579303075624,NA
men,sigma_nr_youth,0.08046283203693709,2.2597019103234735e-5,0.1808854843732622,NA,0.07720165574142898,1.0416823277624043e-5,0.17793252417441202,NA
